Entity,Year,Unsafe_water_source,Unsafe_sanitation,Household_air_pollution_from_solid_fuels,Child_wasting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Unsafe_sex,High_fasting_plasma_glucose,High_body_mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains
Austria,2003,0.604755542,1.892268805,108.9466625,4.272824168,164.8837577,965.9595565,5105.529038,571.5514443,1981.543187,334.9735832,13354.57871,7855.294598,18609.99895,11670.64866,0.811974689,0.498656636,529.0883143,4034.110339,3999.19,2893.779665,4163.919177
Austria,2004,0.734832186,2.267610133,98.78339558,4.228086986,159.0259538,937.7622206,5039.162033,587.5492056,1894.760083,322.9131981,13238.36163,7768.799983,17805.20498,11326.88289,0.815795679,0.505039911,531.0283447,3930.363375,3904.92,2809.695695,3975.467684
Austria,2005,0.919446711,2.796625974,94.04467792,4.095813943,149.5386716,932.7408508,4979.054192,599.2151956,1883.029156,330.9594998,13496.21504,7897.319409,17745.76424,11194.06754,0.812646582,0.497406852,558.2530464,3931.467306,3911.71,2824.486901,3948.016875
Austria,2006,1.127245572,3.378429248,84.84878691,3.94708678,134.9423917,907.9640872,4830.83686,594.0836462,1816.908663,297.5008831,13293.99361,7798.080304,17237.65651,10859.51037,0.647836114,0.491846021,553.4179406,3817.069941,3805.41,2750.161857,3798.050221
Austria,2007,1.38071329,4.077634883,80.37234242,3.991492658,123.7491525,923.9913552,4789.362715,607.8473826,1803.525062,311.4861203,13491.31346,7945.39753,17375.21692,10904.48748,0.69343122,0.514101313,568.7025493,3822.761278,3816.36,2767.906966,3792.803588
Austria,2008,1.550661854,4.51686131,75.10795962,4.091331032,118.7484132,924.2053016,4693.076383,612.5706193,1762.378069,296.3098083,13510.97324,7993.100922,17237.37594,10784.95353,0.587754063,0.546677737,579.0393364,3753.171317,3750.8,2735.734588,3725.070999
Austria,2009,1.707698216,4.924250141,71.1272086,4.197516957,116.1642266,966.0800274,4848.917681,643.6371587,1803.510253,292.1603511,13873.71233,8297.473057,17637.16931,11154.96351,0.538595604,0.575819951,600.3718707,3823.200591,3826.64,2841.161423,3790.301171
Austria,2010,1.807554374,5.148447877,67.57105394,4.274921372,113.2102942,963.2426944,4817.297993,650.4506308,1784.820661,296.6550804,13873.94638,8390.625156,17648.17966,11149.88089,0.476103869,0.591211725,609.3575308,3762.560797,3769.01,2884.449126,3741.210506
Austria,2011,1.944636231,5.457130056,62.52550605,4.071116468,102.0590846,955.4958946,4748.100662,645.7909163,1766.066458,300.0593579,14006.32246,8527.291615,17809.74758,11140.70812,0.584583394,0.566827794,623.6850132,3787.719408,3800.6,2949.861111,3719.478248
Austria,2012,2.143030357,5.94409884,61.57146926,3.747949775,92.7547857,950.6657048,4750.657472,638.9560651,1755.107858,292.503949,14128.29671,8645.091598,17937.3703,11199.15184,0.418031134,0.52797357,636.085408,3647.681178,3658.6,3006.729266,3698.29252
